,Week,Song,Artist,Last week,Peak position,Weeks on chart
1,1958-08-04,Poor Little Fool,Ricky Nelson,,,
2,1958-08-04,Patricia,Perez Prado And His Orchestra,,,
3,1958-08-04,Splish Splash,Bobby Darin,,,
4,1958-08-04,Hard Headed Woman,Elvis Presley With The Jordanaires,,,
5,1958-08-04,When,Kalin Twins,,,
6,1958-08-04,Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels,,,
7,1958-08-04,Yakety Yak,The Coasters,,,
8,1958-08-04,My True Love,Jack Scott,,,
9,1958-08-04,Willie And The Hand Jive,The Johnny Otis Show,,,
10,1958-08-04,Fever,Peggy Lee,,,
11,1958-08-04,Ginger Bread,Frankie Avalon,,,
12,1958-08-04,Just A Dream,Jimmy Clanton And His Rockets,,,
13,1958-08-04,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page,,,
14,1958-08-04,If Dreams Came True,Pat Boone,,,
15,1958-08-04,For Your Precious Love,Jerry Butler and The Impressions,,,
16,1958-08-04,One Summer Night,The Danleers,,,
17,1958-08-04,Endless Sleep,Jody Reynolds,,,
18,1958-08-04,Little Star,The Elegants,,,
19,1958-08-04,Everybody Loves A Lover,Doris Day,,,
20,1958-08-04,Do You Want To Dance,Bobby Freeman,,,
21,1958-08-04,Guess Things Happen That Way,Johnny Cash And The Tennessee Two,,,
22,1958-08-04,A Certain Smile,Johnny Mathis,,,
23,1958-08-04,Western Movies,The Olympics,,,
24,1958-08-04,The Purple People Eater,Sheb Wooley,,,
25,1958-08-04,What Am I Living For,Chuck Willis,,,
26,1958-08-04,Born Too Late,Poni-Tails,,,
27,1958-08-04,Think It Over,The Crickets,,,
28,1958-08-04,Secretly,Jimmie Rodgers,,,
29,1958-08-04,Enchanted Island,The Four Lads,,,
30,1958-08-04,Angel Baby,Dean Martin,,,
31,1958-08-04,Chantilly Lace,Big Bopper,,,
32,1958-08-04,Blue Blue Day,Don Gibson,,,
33,1958-08-04,The Freeze,Tony And Joe,,,
34,1958-08-04,Don't Ask Me Why,Elvis Presley With The Jordanaires,,,
35,1958-08-04,Rock-in Robin,Bobby Day,,,
36,1958-08-04,"No Chemise, Please",Gerry Granahan,,,
37,1958-08-04,Moon Talk,Perry Como,,,
38,1958-08-04,Somebody Touched Me,Buddy Knox with the Rhythm Orchids,,,
39,1958-08-04,That's How Much I Love You,Pat Boone,,,
40,1958-08-04,Crazy Eyes For You,Bobby Hamilton,,,
41,1958-08-04,Early In The Morning,Buddy Holly,,,
42,1958-08-04,You Cheated,The Slades,,,
43,1958-08-04,Come What May,Clyde McPhatter,,,
44,1958-08-04,Jennie Lee,Jan & Arnie,,,
45,1958-08-04,Kathy-O,The Diamonds,,,
46,1958-08-04,(It's Been A Long Time) Pretty Baby,Gino & Gina,,,
47,1958-08-04,I Wonder Why,Dion & The Belmonts,,,
48,1958-08-04,Return To Me,Dean Martin,,,
49,1958-08-04,All I Have To Do Is Dream,The Everly Brothers,,,
50,1958-08-04,By The Light Of The Silvery Moon,Jimmy Bowen with the Rhythm Orchids,,,
51,1958-08-04,"Baubles, Bangles And Beads",The Kirby Stone Four,,,
52,1958-08-04,Early In The Morning,The Rinky-Dinks,,,
53,1958-08-04,Come Closer To Me (Acercate Mas),Nat King Cole,,,
54,1958-08-04,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,,,
55,1958-08-04,Let's Go Steady For The Summer,The Three G's,,,
56,1958-08-04,Leroy,Jack Scott,,,
57,1958-08-04,You Need Hands,Eydie Gorme,,,
58,1958-08-04,Fool's Paradise,The Crickets,,,
59,1958-08-04,Young And Warm And Wonderful,Tony Bennett,,,
60,1958-08-04,Over And Over,Bobby Day,,,
61,1958-08-04,Itchy Twitchy Feeling,Bobby Hendricks,,,
62,1958-08-04,For Your Love,Ed Townsend,,,
63,1958-08-04,Padre,Toni Arden,,,
64,1958-08-04,High School Confidential,Jerry Lee Lewis And His Pumping Piano,,,
65,1958-08-04,You're Making A Mistake,The Platters,,,
66,1958-08-04,Delicious!,Jim Backus & Friend,,,
67,1958-08-04,Big Man,The Four Preps,,,
68,1958-08-04,Volare (Nel Blu Dipinto Di Blu),Dean Martin,,,
69,1958-08-04,Op,The Honeycones,,,
70,1958-08-04,Don't Go Home,The Playmates,,,
71,1958-08-04,Got A Match?,Frank Gallup,,,
72,1958-08-04,Stupid Cupid,Connie Francis,,,
73,1958-08-04,Hey Girl - Hey Boy,Oscar McLollie and Jeanette Baker,,,
74,1958-08-04,Win Your Love For Me,Sam Cooke,,,
75,1958-08-04,Gotta Have Rain,Eydie Gorme,,,
76,1958-08-04,Midnight,Paul Anka,,,
77,1958-08-04,Happy Years,The Diamonds,,,
78,1958-08-04,Betty Lou Got A New Pair Of Shoes,Bobby Freeman,,,
79,1958-08-04,The Bird On My Head,David Seville,,,
80,1958-08-04,Johnny B. Goode,Chuck Berry,,,
81,1958-08-04,Beautiful Delilah,Chuck Berry,,,
82,1958-08-04,Blip Blop,Bill Doggett,,,
83,1958-08-04,Try The Impossible,Lee Andrews And The Hearts,,,
84,1958-08-04,Summertime Blues,Eddie Cochran,,,
85,1958-08-04,Got A Match?,The Daddy-O's,,,
86,1958-08-04,To Be Loved,Jackie Wilson,,,
87,1958-08-04,Jealousy,Kitty Wells,,,
88,1958-08-04,Just Like In The Movies,The Upbeats,,,
89,1958-08-04,Blue Boy,Jim Reeves,,,
90,1958-08-04,Stay,The Ames Brothers,,,
91,1958-08-04,The Purple People Eater Meets The Witch Doctor,Joe South,,,
92,1958-08-04,Bird Dog,The Everly Brothers,,,
93,1958-08-04,Are You Really Mine,Jimmie Rodgers,,,
94,1958-08-04,She Was Only Seventeen (He Was One Year More),Marty Robbins,,,
95,1958-08-04,Little Mary,Fats Domino,,,
96,1958-08-04,Over And Over,Thurston Harris,,,
97,1958-08-04,I Believe In You,Robert & Johnny,,,
98,1958-08-04,Little Serenade,The Ames Brothers,,,
99,1958-08-04,I'll Get By (As Long As I Have You),Billy Williams,,,
100,1958-08-04,Judy,Frankie Vaughan,,,
1,1958-08-11,Poor Little Fool,Ricky Nelson,1,1,2
2,1958-08-11,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,54,2,2
3,1958-08-11,Patricia,Perez Prado And His Orchestra,2,2,2
4,1958-08-11,Splish Splash,Bobby Darin,3,3,2
5,1958-08-11,When,Kalin Twins,5,5,2
6,1958-08-11,My True Love,Jack Scott,8,6,2
7,1958-08-11,Hard Headed Woman,Elvis Presley With The Jordanaires,4,4,2
8,1958-08-11,Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels,6,6,2
9,1958-08-11,Just A Dream,Jimmy Clanton And His Rockets,12,9,2
10,1958-08-11,Willie And The Hand Jive,The Johnny Otis Show,10,10,2
11,1958-08-11,Yakety Yak,The Coasters,7,7,2
12,1958-08-11,If Dreams Came True,Pat Boone,14,12,2
